Acceleration,Velocity,Orientation,Obstacle,GPS
"[0.030819967, -0.03132832, -0.013781548]","[68.87872, -10.952823, -0.9738556]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[-0.042882875, -0.0026379824, -0.045422554]","[68.8787, -10.952725, -0.9736601]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[0.020956323, 0.01427412, 0.0012044907]","[68.8742, -10.93555, -0.98654145]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
"[-0.018690214, 0.11160314, 0.05822277]","[68.88086, -10.960604, -0.9467099]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[-0.049688935, 0.02748835, -0.015107155]","[68.87958, -10.955591, -0.9459683]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,,"[3.0400805536774192e-06, 1.5532972587057608e-06]"
,,,"[True, True, False]",
"[-0.03946945, 0.0016020536, 0.03349209]","[68.87918, -10.954473, -0.96392435]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[0.003804043, 0.024856329, 0.006828308]","[68.87976, -10.956816, -0.96896905]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[-0.02891533, 0.026544929, 0.00934124]","[68.88113, -10.962221, -0.97242105]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[-0.09985, -0.0697124, -0.7063494]","[68.8584, -10.865046, -0.97127926]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
"[0.018722862, 0.00067031384, -0.0059757233]","[68.8498, -10.861796, -0.93088895]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[0.00012218952, -0.013500571, -0.06418419]","[68.85678, -10.889271, -0.94612026]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
"[0.036012053, -0.06882286, -0.0012378693]","[68.861, -10.906231, -0.97359]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,,"[3.04008055373573e-06, 1.553297258723435e-06]"
,,,"[True, True, False]",
